Condition,Prime,Critical
Related,cream,sugar
Related,doctor,nurse
Related,mouse,cheese
Related,school,desk 
Related,turtle,shell
Related,roof,house
Related,page,book
Related,flake,snow
Related,ankle,foot
Related,circle,square
Related,eyes ,nose
Related,horse,barn
Related,shower,soap
Related,glass,bottle
Related,baby,adult
Related,calf,cows
Related,milk,cereal
Related,fork,knife
Related,floor,carpet
Related,leaf,twig
Related,river,water
Related,prison,jail
Related,drink,juice
Related,burn,fire
Related,cake,pies
Related,tree,branch
Related,lips,teeth
Related,bike,wheel
Related,apple,orange
Related,sweets,candy
Related,hair,comb
Related,bread,toast
Related,hammer,nail
Related,boys,girls
Related,love,hate
Related,lemon,lime
Related,star,planet
Related,crown,king
Related,lake,pool
Related,paint,brush
Related,legs,knee
Related,brain,skull
Related,song,music
Related,walk,hike
Related,finger,hand
Related,phone,call
Related,dinner,lunch
Related,rice,wheat
Related,sock,shoe
Related,lock,keys
Related,bird,wing
Related,pistol,bullet
Related,cloud,rain
Related,summer,winter
Related,plane,travel
Related,museum,gallery
Related,beer,wine
Related,sink,towel
Related,gift,present 
Related,pillow,blanket
Related,window,drapes
Related,pencil,eraser
Related,meter,inch 
Related,gloves,mitten
Related,couch,sneeze
Related,ghost,monster
Related,moon,phase
Related,witch,wizard
Related,mouth,tongue
Related,wasp,hornet
Related,honey,bees
Related,ketchup,mustard
Related,flower,petal
Related,father,mother
Related,sister,brother
Related,peach,plum
Related,crow,raven
Related,fish,shark
Related,chicken,rooster 
Related,movie,film
Related,pork,beef
Related,guitar,drums
Related,plant,cactus 
Related,letter,stamp
Related,sweater,coat
Related,bulb,lamp
Related,money,coin
Related,meal,food
Related,track,train
Related,shirt,pants
Related,scarf,neck
Related,needle,thread
Related,sofa,couch
Related,watch,clock
Related,camp,tent
Related,jeans,denim
Related,fiddle,violin
Related,trumpet,tuba
Related,boat,ship
Related,tuna,salmon
Unrelated,siren,sugar
Unrelated,creek,nurse
Unrelated,bull,cheese
Unrelated,dream,desk 
Unrelated,mail,shell
Unrelated,caramel ,house
Unrelated,jelly,book
Unrelated,surgeon,snow
Unrelated,seed,foot
Unrelated,poppy,square
Unrelated,cookie,nose
Unrelated,liquid,barn
Unrelated,snail,soap
Unrelated,tennis,bottle
Unrelated,penny,adult
Unrelated,coast,cows
Unrelated,city,cereal
Unrelated,poster,knife
Unrelated,tide,carpet
Unrelated,space,twig
Unrelated,trunk,water
Unrelated,squid,jail
Unrelated,night,juice
Unrelated,bone,fire
Unrelated,desert ,pies
Unrelated,queen,branch
Unrelated,tights,teeth
Unrelated,corn,wheel
Unrelated,joke,orange
Unrelated,clone,candy
Unrelated,heart,comb
Unrelated,compass,toast
Unrelated,breeze,nail
Unrelated,week,girls
Unrelated,room,hate
Unrelated,party,lime
Unrelated,game,planet
Unrelated,month,king
Unrelated,word,pool
Unrelated,team,brush
Unrelated,parent,knee
Unrelated,suit,skull
Unrelated,wood,music
Unrelated,bell,hike
Unrelated,street,hand
Unrelated,sand,call
Unrelated,island ,lunch
Unrelated,seal,wheat
Unrelated,meat,shoe
Unrelated,school,keys
Unrelated,beard,wing
Unrelated,tail,bullet
Unrelated,yarn,rain
Unrelated,camel,winter
Unrelated,daisy,travel
Unrelated,soil,gallery
Unrelated,engine,wine
Unrelated,peel,towel
Unrelated,bowl,present 
Unrelated,shadow,blanket
Unrelated,pizza,drapes
Unrelated,frown,eraser
Unrelated,bank,inch 
Unrelated,voice,mitten
Unrelated,lettuce,sneeze
Unrelated,blush,monster
Unrelated,soda,phase
Unrelated,kiss,wizard
Unrelated,year,tongue
Unrelated,crib,hornet
Unrelated,butter,bees
Unrelated,anger,mustard
Unrelated,horror,petal
Unrelated,comedy,mother
Unrelated,treat,brother
Unrelated,blood,plum
Unrelated,ballet,raven
Unrelated,luck,shark
Unrelated,truth,rooster 
Unrelated,fear,film
Unrelated,dance,beef
Unrelated,sleep,drums
Unrelated,peace,cactus 
Unrelated,celery,stamp
Unrelated,thrill ,coat
Unrelated,sheep,lamp
Unrelated,banana,coin
Unrelated,cello,food
Unrelated,bacon,train
Unrelated,paper,pants
Unrelated,brick,neck
Unrelated,cabbage,thread
Unrelated,badge,couch
Unrelated,vinegar,clock
Unrelated,smile,tent
Unrelated,salt,denim
Unrelated,advise,violin
Unrelated,hail,tuba
Unrelated,lung,ship
Unrelated,traffic,salmon
